image,smiles,name
img_0000.png,C1=CC=CC=C1,Benzene
img_0001.png,CC1=CC=CC=C1,Toluene
img_0002.png,OC1=CC=CC=C1,Phenol
img_0003.png,CC(C)=O,Acetone
img_0004.png,CCO,Ethanol
img_0005.png,CO,Methanol
img_0006.png,CC(O)=O,Acetic acid
img_0007.png,C=O,Formaldehyde
img_0008.png,ClC(Cl)Cl,Chloroform
img_0009.png,NC1=CC=CC=C1,Aniline
img_0010.png,C1=CC2=CC=CC=C2C=C1,Naphthalene
img_0011.png,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,Caffeine
img_0012.png,CC(=O)OC1=C(C=CC=C1)C(O)=O,Aspirin
img_0013.png,CC(C)CC1=CC=C(C=C1)C(C)C(O)=O,Ibuprofen
img_0014.png,CCNC1=NC(NC(C)C)=NC(Cl)=N1,Atrazine
img_0015.png,OC(=O)CNCP(O)(O)=O,Glyphosate
img_0016.png,CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,Bisphenol A
img_0017.png,O=CC1=CC=CC=C1,Benzaldehyde
img_0018.png,C=CC1=CC=CC=C1,Styrene
img_0019.png,C1=CC=NC=C1,Pyridine
img_0020.png,CC(=O)NC1=CC=C(O)C=C1,Acetaminophen
img_0021.png,OC(=O)C1=CC=CC=C1,Benzoic acid
img_0022.png,OC(=O)C1=C(O)C=CC=C1,Salicylic acid
img_0023.png,OC(=O)CC(O)(CC(O)=O)C(O)=O,Citric acid
img_0024.png,C[C@@H](O)C(O)=O,D-Lactic acid
img_0025.png,C[C@H](O)C(O)=O,(S)-Lactic acid
img_0026.png,[Na+].CC(O)C([O-])=O,Sodium DL-lactate
img_0027.png,CC(O)C(O)=O,Lactic acid
img_0028.png,OCC(O)CO,Glycerol
img_0029.png,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,DL-Glucose
img_0030.png,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-Glucose
img_0031.png,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-Fructose
img_0032.png,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,Sucrose
img_0033.png,NC(N)=O,Urea
img_0034.png,NC(N)=S,Thiourea
img_0035.png,N,Ammonia gas
img_0036.png,OO,Hydrogen peroxide
img_0037.png,[Na+].[Cl-],Sodium chloride
img_0038.png,[Cl-].[K+],Potassium chloride
img_0039.png,[Cl-].[Cl-].[Ca++],Calcium chloride
img_0040.png,[Mg++].[Cl-].[Cl-],Magnesium dichloride
img_0041.png,[OH-].[Na+],Sodium hydroxide
img_0042.png,[OH-].[K+],Potassium hydroxide
img_0043.png,OS(O)(=O)=O,Sulfuric acid
img_0044.png,[O-][N+]([O-])=O,Nitrate
img_0045.png,O[N+]([O-])=O,Nitric acid
img_0046.png,Cl,Hydrochloric acid
img_0047.png,OP(O)(O)=O,Phosphoric acid
img_0048.png,ClC(Cl)(Cl)Cl,Carbon tetrachloride
img_0049.png,ClCCl,Dichloromethane
img_0050.png,ClC=C(Cl)Cl,Trichloroethylene
img_0051.png,ClC(Cl)=C(Cl)Cl,Tetrachloroethylene
img_0052.png,ClC=C,Vinyl chloride
img_0053.png,CCOC(C)=O,Ethyl acetate
img_0054.png,CCCCOC(C)=O,Butyl acetate
img_0055.png,CCOCC,Diethyl ether
img_0056.png,CS(C)=O,Dimethyl sulfoxide
img_0057.png,CN(C)C=O,"N,N-Dimethylformamide"
img_0058.png,CC#N,Acetonitrile
img_0059.png,CCCCCC,n-Hexane
img_0060.png,CCCCCCC,Heptane
img_0061.png,CCCCCCCC,Octane
img_0062.png,C1CCCCC1,Cyclohexane
img_0063.png,OC1CCCCC1,Cyclohexanol
img_0064.png,O=C1CCCCC1,Cyclohexanone
img_0065.png,CCC1=CC=CC=C1,Ethylbenzene
img_0066.png,"C*.CC1=CC=CC=C1 |c:4,6,t:2,m:1:4.5.6|",Xylenes
img_0067.png,CC1=C(C)C=CC=C1,o-Xylene
img_0068.png,CC1=CC(C)=CC=C1,m-Xylene
img_0069.png,CC1=CC=C(C)C=C1,p-Xylene
img_0070.png,[O-][N+](=O)C1=CC=CC=C1,Nitrobenzene
img_0071.png,ClC1=CC=CC=C1,Chlorobenzene
img_0072.png,BrC1=CC=CC=C1,Bromobenzene
img_0073.png,FC1=CC=CC=C1,Fluorobenzene
img_0074.png,IC1=CC=CC=C1,"Benzene, iodo-"
img_0075.png,OC1=CC=CC=C1Cl,2-Chlorophenol
img_0076.png,OC1=CC=C(Cl)C=C1,4-Chlorophenol
img_0077.png,OC1=C(Cl)C=C(Cl)C=C1,"2,4-Dichlorophenol"
img_0078.png,OC1=C(Cl)C=C(Cl)C=C1Cl,"2,4,6-Trichlorophenol"
img_0079.png,OC1=C(O)C=CC=C1,"1,?2-?Benzenediol"
img_0080.png,OC1=CC(O)=CC=C1,Resorcinol
img_0081.png,OC1=CC=C(O)C=C1,Hydroquinone
img_0082.png,COC1=CC=CC=C1,Anisole
img_0083.png,CCOC1=CC=CC=C1,"Benzene, ethoxy-"
img_0084.png,OCC1=CC=CC=C1,Benzyl alcohol
img_0085.png,ClCC1=CC=CC=C1,Benzyl chloride
img_0086.png,BrCC1=CC=CC=C1,alpha-Bromotoluene
img_0087.png,N#CC1=CC=CC=C1,Benzonitrile
img_0088.png,NC(=O)C1=CC=CC=C1,Benzamide
img_0089.png,CC(=O)NC1=CC=CC=C1,N-Acetylaminobenzene
img_0090.png,C[N+]([O-])=O,Nitromethane
img_0091.png,CC[N+]([O-])=O,Nitroethane
img_0092.png,OC=O,Formic acid
img_0093.png,CCC(O)=O,Propionic acid
img_0094.png,CCCC(O)=O,Butanoic acid
img_0095.png,[K+].CCCCC([O-])=O,Potassium pentanoate
img_0096.png,CCCCC(O)=O,Pentanoic acid
img_0097.png,OC(=O)CC(O)=O,Propanedioic acid
img_0098.png,OC(=O)CCC(O)=O,Butanedioic acid
img_0099.png,OC(=O)\C=C/C(O)=O,Maleic acid
img_0100.png,OC(=O)\C=C\C(O)=O,Fumaric acid
img_0101.png,OC(=O)C(O)=O,Oxalic acid
img_0102.png,OC(C(O)C(O)=O)C(O)=O,"2,3-Dihydroxybutanedioic acid"
img_0103.png,O[C@H]([C@@H](O)C(O)=O)C(O)=O,L-Tartaric acid
img_0104.png,NCC(O)=O,Glycine
img_0105.png,C[C@H](N)C(O)=O,L-?Alanine
img_0106.png,CC(N)C(O)=O,DL-Alanine
img_0107.png,NC(CO)C(O)=O,DL-Serine
img_0108.png,NC(CS)C(O)=O,DL-Cysteine
img_0109.png,N[C@@H](CS)C(O)=O,L-Cysteine
