image,smiles
img_0000.png,C1=CC=C(C=C1)C(CN)O
img_0001.png,C1=CC=C(C=C1)CCN
img_0002.png,C1=CC=C(C=C1)C2C(=O)NC(=O)N2
img_0003.png,OP(=O)(O)[O-]
img_0004.png,OP(=O)(O)O
img_0005.png,C=C(C(=O)O)OP(=O)(O)O
img_0006.png,C(C(C(C(=O)[O-])N)O)OP(=O)(O)O
img_0007.png,C(C(C(C(=O)O)N)O)OP(=O)(O)O
img_0008.png,C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)O)O)O)N=C[N+](=C2N)C4C(C(C(O4)COP(=O)(O)O)O)O
img_0009.png,C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N=C[N+](=C2N)C4C(C(C(O4)COP(=O)(O)O)O)O
img_0010.png,C1=NC(=C(N1C2C(C(C(O2)COP(=O)(O)O)O)O)N)C(=O)O
img_0011.png,C1=NC(=C(N1C2C(C(C(O2)COP(=O)(O)O)O)O)NC=O)C(=O)N
img_0012.png,C1=NC(=C(N1C2C(C(C(O2)COP(=O)(O)O)O)O)NC=NC3C(C(C(O3)COP(=O)(O)O)O)O)C(=O)N
img_0013.png,C1=NC(=C(N1C2C(C(C(O2)COP(=O)(O)O)O)O)NC=NCC(=O)C(C(COP(=O)(O)O)O)O)C(=O)N
img_0014.png,C[N+](C)(C)CCOP(=O)(O)O
img_0015.png,C(COP(=O)(O)O)N
img_0016.png,CC(C(C(=O)O)N)OP(=O)(O)O
img_0017.png,C1=CC=C(C(=C1)C(=O)O)C(=O)O
img_0018.png,C1=CC=NC(=C1)C(=O)O
img_0019.png,C1=CC(=C(C=C1[N+](=O)[O-])OP(=O)(O)O)O
img_0020.png,CC(=CCCC=CCOP(=O)(O)OP(=O)(O)O)C
img_0021.png,C1=C(C(=C(N1)CN)CC(=O)O)CCC(=O)O
img_0022.png,C1CC2=NC1=CC3=NC(=CC4=CCC(=CC5=NC(=C2)C=C5)N4)C=C3
img_0023.png,OP(=O)(O)OP(=O)(O)O
img_0024.png,C1=C(C2=C(C(=O)C(=O)C3=C2NC(=C3)C(=O)O)N=C1C(=O)O)C(=O)O
img_0025.png,C1C(C(OP(=O)(O1)[O-])C(C2=CNC3C(N2)C(=O)NC(=N3)N)O)O
