model,dataset,epochs,batch_size,learning_rate,hidden_dim,embedding_dim,train_token_accuracy,test_token_accuracy,exact_match,canonical_match,valid_smiles_rate,total,vocab_size,max_length
CNN-GRU Sequence,pubchem,10,16,0.001,128,128,0.5898653437278526,0.5847739361702128,0.0,0.0,1.0,80,41,135
CNN-GRU Sequence,pubchem,10,16,0.001,256,128,0.6544294826364281,0.6439494680851063,0.0,0.0,1.0,80,41,135
CNN-GRU Sequence,pubchem,10,16,0.001,512,128,0.7147413182140326,0.6811835106382979,0.0,0.0,1.0,80,41,135
CNN-GRU Sequence,pubchem,10,16,0.0005,128,128,0.5404677533664068,0.5415558510638298,0.0,0.0,1.0,80,41,135
CNN-GRU Sequence,pubchem,10,16,0.0005,256,128,0.5931963146704465,0.5851063829787234,0.0,0.0,1.0,80,41,135
CNN-GRU Sequence,pubchem,10,16,0.0005,512,128,0.6452161587526577,0.632313829787234,0.0,0.0,0.0,80,41,135
CNN-GRU Sequence,pubchem,10,16,0.0001,128,128,0.46080793763288447,0.4484707446808511,0.0,0.0,1.0,80,41,135
CNN-GRU Sequence,pubchem,10,16,0.0001,256,128,0.5123316796598157,0.4990026595744681,0.0,0.0,1.0,80,41,135
CNN-GRU Sequence,pubchem,10,16,0.0001,512,128,0.5264351523742027,0.5216090425531915,0.0,0.0,1.0,80,41,135
CNN-GRU Sequence,pubchem,10,16,0.001,128,128,0.5890148830616584,0.5907579787234043,0.0,0.0,0.0,80,41,135
CNN-GRU Sequence,pubchem,10,16,0.001,256,128,0.6454996456413891,0.6259973404255319,0.0,0.0,0.0,80,41,135
CNN-GRU Sequence,pubchem,10,16,0.001,512,128,0.722537207654146,0.6768617021276596,0.0,0.0,1.0,80,41,135
CNN-GRU Sequence,pubchem,10,16,0.0005,128,128,0.5480510276399716,0.5415558510638298,0.0,0.0,1.0,80,41,135
CNN-GRU Sequence,pubchem,10,16,0.0005,256,128,0.5912827781715095,0.5907579787234043,0.0,0.0,1.0,80,41,135
CNN-GRU Sequence,pubchem,10,16,0.0005,512,128,0.6442948263642807,0.6376329787234043,0.0,0.0,0.0,80,41,135
CNN-GRU Sequence,pubchem,10,16,0.0001,128,128,0.4471296952515946,0.4351728723404255,0.0,0.0,1.0,80,41,135
CNN-GRU Sequence,pubchem,10,16,0.0001,256,128,0.509425939050319,0.496343085106383,0.0,0.0,1.0,80,41,135
CNN-GRU Sequence,pubchem,10,16,0.0001,512,128,0.5281360737065911,0.5066489361702128,0.0,0.0,1.0,80,41,135
CNN-GRU Sequence,pubchem,10,16,0.001,128,128,0.5945428773919206,0.5880984042553191,0.0,0.0,1.0,80,41,135
CNN-GRU Sequence,pubchem,10,16,0.001,256,128,0.6530829199149539,0.645279255319149,0.0,0.0,0.0,80,41,135
CNN-GRU Sequence,pubchem,10,16,0.001,512,128,0.725797306874557,0.6931515957446809,0.0,0.0,1.0,80,41,135
CNN-GRU Sequence,pubchem,10,16,0.0005,128,128,0.547413182140326,0.5475398936170213,0.0,0.0,1.0,80,41,135
CNN-GRU Sequence,pubchem,10,16,0.0005,256,128,0.5909284195605953,0.5907579787234043,0.0,0.0,1.0,80,41,135
CNN-GRU Sequence,pubchem,10,16,0.0005,512,128,0.6454996456413891,0.6273271276595744,0.0,0.0,1.0,80,41,135
CNN-GRU Sequence,pubchem,10,16,0.0001,128,128,0.4693125442948264,0.45611702127659576,0.0,0.0,1.0,80,41,135
CNN-GRU Sequence,pubchem,10,16,0.0001,256,128,0.5154500354358611,0.4896941489361702,0.0,0.0,1.0,80,41,135
CNN-GRU Sequence,pubchem,10,16,0.0001,512,128,0.529128277817151,0.5113031914893617,0.0,0.0,1.0,80,41,135
CNN-GRU Sequence,pubchem,10,16,0.001,512,128,0.7242381289865344,0.6861702127659575,0.0,0.0,1.0,80,41,135
